property_id,location,property_type,bedrooms,bathrooms,square_feet,year_built,parking,furnished_status,amenities,latitude,longitude,price
1,Nakuru,Townhouse,4,5,2653,2024,1,Semi-Furnished,"Playground, Security, Garden, Gym",-0.335497,36.081535,21102420
2,Nakuru,House,5,4,2506,2019,3,Semi-Furnished,Parking,-0.277466,36.046884,16041710
3,Thika,Apartment,5,5,2473,2018,1,Semi-Furnished,"Garden, Gym, Pool",-1.024645,37.062956,17689081
4,Nairobi,Apartment,6,1,483,2020,3,Furnished,"Parking, Garden, Pool",-1.278389,36.871317,5924592
5,Garissa,Apartment,1,3,1546,2023,3,Unfurnished,"Parking, Playground",-0.499458,39.648695,7135382
6,Nakuru,Apartment,5,4,1783,2021,2,Furnished,"Garden, Playground",-0.311104,36.092769,14295784
7,Naivasha,Bungalow,4,2,506,2019,1,Semi-Furnished,"Security, Parking, Playground, Gym",-0.68144,36.441689,2840994
8,Eldoret,Villa,5,4,1467,2020,0,Furnished,"Security, Playground, Garden, Pool",0.513574,35.247556,9544055
9,Nairobi,House,5,5,1671,2024,3,Semi-Furnished,"Pool, Gym, Security",-1.338592,36.800838,19827454
10,Nakuru,House,6,4,1314,2021,3,Semi-Furnished,Gym,-0.337365,36.050001,11329204
11,Malindi,Apartment,1,1,714,2018,2,Unfurnished,"Parking, Playground, Garden, Security",-3.24423,40.07963,4389712
12,Nairobi,Villa,4,1,3320,2021,0,Semi-Furnished,"Gym, Playground, Pool",-1.281063,36.78995,38556096
13,Thika,Apartment,6,4,940,2021,2,Furnished,"Pool, Garden",-1.076236,37.034218,5143020
14,Nairobi,House,3,5,1151,2024,0,Unfurnished,"Garden, Playground, Security, Pool",-1.279556,36.833654,11384590
15,Nairobi,Bungalow,6,5,503,2021,2,Unfurnished,"Pool, Security",-1.3327,36.869022,6679459
16,Garissa,Bungalow,4,3,742,2024,1,Unfurnished,"Security, Parking",-0.414555,39.702731,3439528
17,Thika,Bungalow,3,4,799,2021,0,Furnished,"Pool, Gym, Garden, Security",-1.030593,37.095586,5631407
18,Naivasha,Villa,5,3,2855,2022,1,Furnished,"Security, Pool",-0.763959,36.476055,17882810
19,Malindi,Villa,5,4,2281,2021,3,Furnished,"Pool, Security, Gym, Parking",-3.234733,40.079877,18024923
20,Nakuru,House,3,1,2128,2021,3,Unfurnished,"Playground, Pool, Parking, Gym",-0.325605,36.075068,18668257
21,Wajir,Apartment,1,4,1860,2024,1,Semi-Furnished,"Pool, Garden",1.766069,40.086827,6837292
22,Eldoret,Apartment,6,2,839,2020,0,Unfurnished,"Parking, Pool, Garden",0.546791,35.285468,6301005
23,Naivasha,Villa,4,1,1842,2024,1,Semi-Furnished,"Parking, Playground",-0.720302,36.420994,13008029
24,Malindi,Apartment,1,2,2556,2020,3,Semi-Furnished,"Gym, Security, Pool, Garden",-3.174594,40.165233,18963280
25,Eldoret,House,1,5,3259,2022,0,Furnished,"Playground, Garden, Gym, Security",0.510793,35.283536,23734268
26,Nairobi,Townhouse,4,3,2519,2019,0,Semi-Furnished,"Playground, Pool, Security, Parking",-1.244228,36.802941,24852436
27,Wajir,Bungalow,3,4,3019,2021,1,Unfurnished,Parking,1.713417,40.070173,11682837
28,Eldoret,House,4,1,3068,2021,0,Furnished,"Parking, Security, Pool, Gym",0.549731,35.223164,17835444
29,Thika,Townhouse,3,4,2180,2020,2,Semi-Furnished,"Parking, Security, Garden",-1.054746,37.097726,15423096
30,Nairobi,Apartment,4,1,2039,2020,3,Semi-Furnished,"Pool, Parking, Playground, Security",-1.24977,36.840302,23546728
31,Thika,Townhouse,4,3,1552,2021,0,Semi-Furnished,"Pool, Garden, Playground",-1.082936,37.113947,9191459
32,Naivasha,Apartment,5,5,2944,2018,3,Unfurnished,"Parking, Garden, Playground, Security",-0.681356,36.403682,20754425
33,Wajir,House,1,5,3975,2022,3,Semi-Furnished,"Security, Pool",1.70607,40.099554,12885985
34,Nairobi,House,3,1,564,2018,2,Unfurnished,Parking,-1.248828,36.825455,5051136
35,Wajir,House,6,5,3013,2018,3,Furnished,"Playground, Gym, Security, Garden",1.787044,40.018772,10678485
36,Naivasha,Villa,5,1,706,2020,0,Unfurnished,"Pool, Playground, Parking",-0.673197,36.457994,4825344
37,Malindi,Bungalow,2,4,1911,2019,3,Unfurnished,"Playground, Gym",-3.255406,40.157458,13426031
38,Wajir,Villa,4,2,2519,2018,2,Unfurnished,"Security, Gym, Playground, Garden",1.777105,40.106378,10701702
39,Malindi,Bungalow,4,4,1764,2018,0,Furnished,"Gym, Garden, Pool",-3.168414,40.14078,13314244
40,Nairobi,Townhouse,6,2,454,2023,1,Unfurnished,"Playground, Pool, Security",-1.331093,36.81795,4527644
41,Kisumu,Villa,6,5,742,2024,0,Semi-Furnished,"Playground, Parking, Garden",-0.127566,34.795189,6565680
42,Kisumu,Bungalow,2,1,509,2018,3,Semi-Furnished,"Pool, Playground, Garden, Gym",-0.134163,34.732144,4917208
43,Eldoret,Apartment,5,5,2455,2021,2,Unfurnished,"Security, Garden",0.494195,35.253259,19074530
44,Garissa,House,1,3,1251,2019,3,Semi-Furnished,"Garden, Playground, Gym, Security",-0.469188,39.67792,5224596
45,Garissa,Villa,1,4,2188,2022,1,Furnished,Playground,-0.465494,39.627336,8813272
46,Malindi,Townhouse,6,3,1138,2018,1,Semi-Furnished,"Playground, Garden, Gym",-3.243934,40.072234,9631168
47,Garissa,Bungalow,6,3,3612,2020,1,Unfurnished,"Parking, Security",-0.498505,39.675854,19565528
48,Eldoret,Townhouse,4,3,3955,2023,2,Unfurnished,"Security, Playground",0.480831,35.317588,21669990
49,Eldoret,Bungalow,1,3,3318,2023,1,Unfurnished,"Parking, Security, Pool",0.562269,35.22704,23219824
50,Nakuru,Bungalow,6,5,2824,2024,3,Unfurnished,Playground,-0.332411,36.079231,21394241
51,Kisumu,Townhouse,3,5,1329,2023,0,Semi-Furnished,"Playground, Security, Gym, Parking",-0.074685,34.718423,9672639
52,Garissa,Bungalow,5,5,409,2021,0,Unfurnished,"Parking, Gym, Security, Garden",-0.455388,39.616728,2042584
53,Malindi,Apartment,3,4,437,2019,3,Unfurnished,Garden,-3.199046,40.114736,3186822
54,Nakuru,Villa,1,4,2184,2023,2,Unfurnished,"Garden, Playground",-0.30802,36.073948,13197884
55,Eldoret,Apartment,6,5,3152,2023,1,Unfurnished,Security,0.54237,35.266698,22203808
56,Mombasa,Apartment,3,1,795,2024,1,Furnished,"Pool, Garden, Playground",-4.037791,39.698367,7114899
57,Mombasa,Villa,3,2,525,2024,0,Semi-Furnished,"Playground, Security",-4.053764,39.651271,4844505
58,Kisumu,Villa,3,1,1497,2021,0,Semi-Furnished,"Playground, Garden, Security",-0.062896,34.813176,9317928
59,Nairobi,Villa,1,2,3082,2021,1,Furnished,Gym,-1.31226,36.818565,36403494
60,Kisumu,Apartment,5,1,1565,2018,0,Unfurnished,"Playground, Gym, Parking, Security",-0.072747,34.786404,15276104
61,Malindi,Bungalow,4,4,501,2024,0,Furnished,"Gym, Pool, Security, Parking",-3.262147,40.077462,4018222
62,Nairobi,Townhouse,2,4,952,2018,2,Furnished,Pool,-1.296271,36.84368,9199065
63,Wajir,Apartment,6,2,3752,2022,2,Furnished,"Pool, Playground, Security, Gym",1.788511,40.059541,14870356
64,Wajir,Villa,3,2,2818,2020,1,Furnished,"Security, Pool, Parking",1.745085,40.093704,10284174
65,Garissa,Townhouse,2,1,3450,2023,0,Semi-Furnished,"Gym, Garden, Playground, Pool",-0.461999,39.610643,17469665
66,Garissa,Bungalow,2,1,1977,2022,1,Unfurnished,Playground,-0.4385,39.662279,8600273
67,Eldoret,Bungalow,3,1,2147,2021,3,Unfurnished,"Garden, Playground",0.506299,35.297129,16335943
68,Kisumu,Townhouse,4,5,923,2022,1,Unfurnished,"Garden, Security, Playground, Pool",-0.133214,34.812249,7569494
69,Naivasha,Bungalow,4,2,3406,2020,1,Semi-Furnished,"Parking, Garden",-0.724767,36.395202,20972580
70,Naivasha,Townhouse,6,2,3727,2018,2,Furnished,"Parking, Pool, Gym, Security",-0.758487,36.480354,18320953
